Province/State,Country/Region,January,February,March,April,May,June,July,August,September,October,November,December
Shanxi,China,39,133,136,197,198,198,201,203,204,212,221,224
Sichuan,China,177,538,550,561,575,595,604,652,693,744,808,853
Tianjin,China,32,136,174,190,192,198,205,229,240,270,300,309
Tibet,China,1,1,1,1,1,1,1,1,1,1,1,1
Xinjiang,China,17,76,76,76,76,76,639,902,902,956,980,980
Yunnan,China,83,174,182,185,185,185,191,199,209,213,219,230
Zhejiang,China,538,1205,1257,1268,1268,1269,1270,1278,1282,1286,1294,1306
,China,9802,79356,82279,83956,84146,84785,87655,89914,90545,91366,92902,95963
,Colombia,0,0,906,6507,29383,97846,295508,615094,829679,1074184,1316806,1642775
,Comoros,0,0,0,1,106,303,378,423,479,545,611,823
,Congo (Brazzaville),0,0,19,220,611,1087,3200,3979,5089,5290,5774,7107
,Congo (Kinshasa),0,0,98,572,3070,7039,9070,10097,10659,11306,12772,17658
,Costa Rica,0,0,347,719,1056,3459,17820,41287,75760,109971,139638,169321
,Cote d'Ivoire,0,0,179,1275,2833,9499,16047,18067,19724,20716,21331,22490
,Croatia,0,6,867,2076,2246,2777,5139,10269,16593,49316,128442,210837
,Cuba,0,0,186,1501,2045,2341,2608,4032,5597,6887,8284,11863
,Cyprus,0,0,262,850,944,998,1114,1488,1755,4366,10565,22019
,Czechia,0,0,3308,7682,9268,11954,16574,24618,70763,335102,523298,718661
Faroe Islands,Denmark,0,0,169,187,187,187,225,411,467,495,503,610
Greenland,Denmark,0,0,10,11,13,13,14,14,14,17,18,27
,Denmark,0,3,2860,9158,11669,12768,13789,16985,27998,46351,80481,163479
,Diamond Princess,0,705,712,712,712,712,712,712,712,712,712,712
,Djibouti,0,0,30,1089,3354,4682,5084,5387,5416,5561,5679,5831
,Dominica,0,0,12,16,16,18,18,20,30,50,85,88
,Dominican Republic,0,0,1109,6972,17285,32568,69649,94715,112209,127018,143988,170785
,Ecuador,0,0,2240,24934,39098,56432,85355,113767,137047,168192,192685,212512
,Egypt,0,1,710,5537,24985,68311,94078,98939,103198,107555,115911,138062
,El Salvador,0,0,32,395,2517,6438,16632,25729,29077,33445,38405,45960
,Equatorial Guinea,0,0,12,315,1306,2001,4821,4941,5030,5088,5153,5277
,Eritrea,0,0,15,39,39,203,279,319,375,463,577,1320
,Estonia,0,1,745,1689,1869,1989,2064,2375,3371,4905,12308,27990
,Eswatini,0,0,9,100,285,812,2648,4577,5482,5917,6419,9358
,Ethiopia,0,0,26,131,1172,5846,17530,52131,75368,96169,110074,124264
,Fiji,0,0,5,18,18,18,27,28,32,34,42,49
,Finland,1,3,1418,4995,6859,7214,7432,8086,9992,16113,24912,36107
French Guiana,France,0,0,43,126,499,4004,7799,9115,9955,10536,11204,13045
French Polynesia,France,0,0,36,58,60,62,62,573,1852,7262,14372,16926
Guadeloupe,France,0,0,114,151,162,182,265,1269,5528,7605,8344,8620
Martinique,France,0,0,128,178,200,242,269,615,1543,3552,5413,6072
Mayotte,France,0,0,94,539,1699,2603,2962,3301,3779,4366,5181,5890
New Caledonia,France,0,0,16,18,19,21,22,23,27,28,33,38
Reunion,France,0,0,247,420,471,526,660,1679,3993,5659,8054,8972
Saint Barthelemy,France,0,0,6,6,6,6,8,18,48,83,147,190
Saint Pierre and Miquelon,France,0,0,0,1,1,1,4,5,16,16,16,16
St Martin,France,0,0,15,38,41,43,53,213,383,566,717,995
Wallis and Futuna,France,0,0,0,0,0,0,0,0,0,0,0,0
,France,5,100,51579,167326,187817,196554,215135,304349,578769,1374691,2223393,2616902
,Gabon,0,0,16,276,2655,5394,7352,8533,8766,8968,9214,9571
,Gambia,0,0,4,11,25,49,498,2963,3579,3672,3742,3797
,Georgia,0,1,110,539,783,928,1168,1487,6192,38936,135584,227420
,Germany,5,79,71808,163009,183410,195418,210399,244802,292913,531790,1069912,1760520
,Ghana,0,0,161,2074,8070,17741,35501,44298,46626,48055,51667,54771
,Greece,0,4,1314,2591,2917,3409,4477,10317,18475,39251,105271,138850
,Grenada,0,0,9,20,23,23,24,24,24,28,41,127
,Guatemala,0,0,38,599,5087,18096,49789,74074,91746,107939,122062,138012
,Guinea,0,0,22,1495,3706,5391,7308,9409,10652,12072,13119,13722
,Guinea-Bissau,0,0,8,205,1256,1654,1981,2205,2324,2413,2441,2452
,Guyana,0,0,12,82,153,245,413,1306,2894,4162,5406,6332
,Haiti,0,0,15,76,1584,5847,7378,8209,8740,9054,9272,9999
,Holy See,0,0,6,11,12,12,12,12,12,27,27,27
,Honduras,0,0,141,771,5202,19558,42014,61014,76900,96888,108253,121827
,Hungary,0,0,492,2775,3876,4155,4505,6139,26461,75321,217122,322514
,Iceland,0,1,1135,1797,1806,1824,1885,2107,2728,4865,5392,5754
,India,1,3,1397,34863,190609,585481,1695988,3691166,6312584,8184082,9462809,10266674
,Indonesia,0,0,1528,10118,26473,56385,108376,174796,287008,410088,538883,743198
,Iran,0,593,44605,94640,151466,227662,304204,375212,457219,612772,962070,1225142
,Iraq,0,13,694,2085,6439,49109,124609,234934,362981,472630,552549,595291
,Ireland,0,1,3235,20612,24990,25473,26065,28811,36155,61456,72544,91779
,Israel,0,6,5717,15896,17079,25438,71734,116906,247411,314349,337191,423262
,Italy,2,1128,105792,205463,232997,240578,247537,269214,314861,679430,1601554,2107166
,Jamaica,0,0,36,422,586,702,878,2459,6482,9094,10763,12827
,Japan,15,245,2255,14284,16751,18615,36234,68396,83591,101327,148962,235811
,Jordan,0,0,274,453,739,1132,1193,2034,11825,72607,219430,294494
,Kazakhstan,0,0,343,3402,10858,22308,90367,130673,140707,149699,174563,201196
,Kenya,0,0,59,396,1962,6366,20636,34201,38529,55192,83618,96458
,Korea/South,11,3150,9786,10774,11503,12850,14336,20182,23889,26635,34652,61769
,Kosovo,0,0,106,799,1070,2799,8330,13454,15620,19328,39596,51144
,Kuwait,0,45,289,4024,27043,46195,66957,85109,105182,125926,142635,150584
,Kyrgyzstan,0,0,107,746,1748,5506,35805,43898,46669,58878,73178,81034
,Laos,0,0,9,19,19,19,20,22,23,24,39,41
,Latvia,0,0,398,858,1066,1118,1231,1396,1824,5894,17075,40904
,Lebanon,0,4,470,725,1220,1778,4555,17308,39634,81228,127944,181503
,Lesotho,0,0,0,0,2,27,604,1085,1595,1953,2109,3094
,Liberia,0,0,3,141,288,780,1186,1304,1343,1426,1595,1779
,Libya,0,0,10,61,156,824,3621,13966,34525,61095,82809,100277
,Liechtenstein,0,0,68,82,82,82,88,107,118,533,1270,2136
,Lithuania,0,1,537,1385,1675,1817,2075,2906,4693,14824,61325,140579
,Luxembourg,0,1,2178,3784,4018,4299,6695,6625,8509,17134,34678,46415
,MS Zaandam,0,0,2,9,9,9,9,9,9,9,9,9
,Madagascar,0,0,57,128,771,2214,10868,14863,16408,17111,17341,17714
,Malawi,0,0,0,37,284,1224,4078,5566,5773,5930,6028,6583
,Malaysia,8,25,2766,6002,7819,8639,8976,9340,11224,31548,65697,113010
,Maldives,0,0,18,468,1773,2361,3793,7804,10291,11659,13011,13757
,Mali,0,0,28,490,1265,2181,2535,2776,3118,3554,4710,7090
,Malta,0,0,169,465,618,670,824,1883,3058,6042,9873,12774
,Marshall Islands,0,0,0,0,0,0,0,0,0,2,4,4
,Mauritania,0,0,6,8,530,4363,6310,7048,7502,7703,8601,14364
,Mauritius,0,0,143,332,335,341,344,356,381,441,504,527
,Mexico,0,4,1215,19224,90664,226089,424637,599560,743216,924962,1113543,1426094
,Micronesia,0,0,0,0,0,0,0,0,0,0,0,0
,Moldova,0,0,353,3897,8251,16613,24733,36920,53042,76040,107364,144818
,Monaco,0,1,52,95,99,103,120,154,218,359,609,875
,Mongolia,0,0,12,38,179,220,291,304,313,346,801,1220
,Montenegro,0,0,109,322,324,548,3073,4835,10772,18341,35265,48247
,Morocco,0,0,617,4423,7807,12533,24322,62590,123653,219084,356336,439193
,Mozambique,0,0,8,76,254,889,1864,3916,8728,12869,15701,18642
,Namibia,0,0,11,16,24,205,2129,7550,11265,12935,14380,23941
,Nepal,1,1,5,57,1572,13564,19771,39460,77817,170743,233452,260593
Aruba,Netherlands,0,0,55,100,101,103,121,2006,3963,4513,4845,5489
Bonaire/ Sint Eustatius and Saba,Netherlands,0,0,0,5,6,7,11,15,121,153,162,196
Curacao,Netherlands,0,0,11,16,19,23,29,68,392,970,2379,4260
Sint Maarten,Netherlands,0,0,6,75,77,77,128,476,667,826,1066,1456
,Netherlands,0,6,12595,39316,46442,50273,54301,70667,120845,351178,523478,796981
,New Zealand,0,1,647,1479,1504,1528,1562,1752,1848,1959,2059,2162
,Nicaragua,0,0,5,14,759,2519,3672,4494,5170,5514,5784,6046
,Niger,0,0,27,719,958,1075,1134,1176,1197,1220,1548,3323
,Nigeria,0,1,135,1932,10162,25694,43151,54008,58848,62853,67557,87607
,North Macedonia,0,1,329,1465,2226,6334,10754,14341,17977,31572,61878,83329
,Norway,0,15,4641,7738,8440,8879,9240,10782,14027,20331,36150,49567
,Oman,0,6,192,2348,11437,40070,79159,85722,98585,114434,123699,128867
,Pakistan,0,4,2118,18114,72460,213470,278305,295849,312806,333970,400482,482178
,Panama,0,0,1181,6532,13463,33550,65256,92982,112595,133598,165806,246790
,Papua New Guinea,0,0,1,8,8,11,72,459,534,589,656,780
,Paraguay,0,0,65,266,986,2221,5338,17662,40758,63185,82424,107932
,Peru,0,0,1065,36976,164476,285213,407492,647166,811768,900180,962530,1015137
,Philippines,1,3,2084,8488,18086,37514,93354,220819,311694,380729,431630,474064
,Poland,0,0,2311,12877,23786,34393,45688,67372,91514,362731,990811,1294878
,Portugal,0,0,7443,25045,32500,42141,51072,58012,75542,141279,298061,413678
,Qatar,0,1,781,13409,56910,96088,110695,118778,125760,132556,138833,143834
,Romania,0,3,2245,12240,19257,26970,50886,87540,127572,241339,475362,632263
,Russia,2,2,2337,106498,405843,646929,838461,992402,1170799,1606267,2275936,3127347
,Rwanda,0,0,75,243,370,1025,2022,4063,4840,5137,5934,8383
,Saint Kitts and Nevis,0,0,8,15,15,15,17,17,19,19,22,32
,Saint Lucia,0,0,13,17,18,19,25,26,27,78,259,353
,Saint Vincent and the Grenadines,0,0,1,16,26,29,54,60,64,74,85,121
,Samoa,0,0,0,0,0,0,0,0,0,0,2,2
,San Marino,0,1,236,569,671,698,699,715,732,928,1612,2428
,Sao Tome and Principe,0,0,0,14,483,714,871,896,911,945,991,1014
,Saudi Arabia,0,0,1563,22753,85261,190823,275905,315772,334605,347282,357360,362741
,Senegal,0,0,175,933,3645,6793,10232,13611,14982,15616,16089,19140
,Serbia,0,0,900,9009,11412,14564,25552,31406,33551,46954,175438,337923
,Seychelles,0,0,10,11,11,81,114,136,144,153,183,256
,Sierra Leone,0,0,1,124,861,1462,1823,2022,2231,2366,2412,2611
,Singapore,13,102,926,16169,34884,43907,52205,56812,57765,58015,58218,58599
,Slovakia,0,0,363,1396,1521,1667,2292,3917,10141,57664,105929,179543
,Slovenia,0,0,802,1429,1473,1600,2156,2883,5690,34307,75814,122152
,Solomon Islands,0,0,0,0,0,0,0,0,0,8,17,17
,Somalia,0,0,5,601,1976,2924,3212,3310,3588,3941,4451,4714
,South Africa,0,0,1353,5647,32683,151209,493183,627041,674339,725452,790004,1057161
,South Sudan,0,0,0,35,994,2007,2322,2527,2704,2905,3109,3558
,Spain,0,45,95923,213435,239479,249271,288522,462858,769188,1185678,1648187,1928265
,Sri Lanka,1,1,143,663,1633,2047,2815,3049,3380,10663,23987,43299
,Sudan,0,0,7,375,4800,9372,11579,13189,13646,13804,18045,25500
,Suriname,0,0,9,10,23,515,1650,4034,4877,5203,5312,6210
,Sweden,0,14,4834,21601,38661,67924,77076,84379,92863,124355,243129,437379
,Switzerland,0,18,16605,29586,30862,31714,35232,42177,53282,154251,327072,452296
,Syria,0,0,10,43,122,279,757,2765,4200,5728,7887,11434
,Taiwan*,10,39,322,429,442,447,467,488,514,555,675,799
,Tajikistan,0,0,0,15,3930,5900,7409,8583,9769,11017,12194,13296
,Tanzania,0,0,19,480,509,509,509,509,509,509,509,509
,Thailand,19,42,1651,2954,3081,3171,3310,3412,3569,3784,4008,7163
,Timor-Leste,0,0,1,24,24,24,24,27,28,30,30,44
,Togo,0,0,34,116,442,650,941,1400,1784,2331,2974,3633
,Trinidad and Tobago,0,0,87,116,117,130,169,1759,4531,5692,6669,7150
,Tunisia,0,0,394,994,1077,1174,1535,3803,18413,59813,96769,139140
,Turkey,0,0,13531,120204,163942,199906,230873,270133,318663,375367,638847,2208652
,US,8,25,192177,1080885,1798731,2641772,4566456,6025355,7231602,9158379,13654519,20060595
,Uganda,0,0,44,83,417,889,1154,2972,8129,12495,20459,35216
,Ukraine,0,0,645,10406,23672,45254,71404,124132,214446,399330,752343,1086997
,United Arab Emirates,4,21,664,12481,34557,48667,60506,70231,94190,132629,168860,207822
Anguilla,United Kingdom,0,0,2,3,3,3,3,3,3,3,6,13
Bermuda,United Kingdom,0,0,32,114,140,146,156,172,181,199,260,604
British Virgin Islands,United Kingdom,0,0,3,6,8,8,8,47,71,71,71,86
Cayman Islands,United Kingdom,0,0,14,73,141,200,203,205,211,240,274,338
Channel Islands,United Kingdom,0,0,141,537,560,571,587,625,665,841,1299,3058
Falkland Islands (Malvinas),United Kingdom,0,0,0,13,13,13,13,13,13,13,16,29
Gibraltar,United Kingdom,0,0,69,144,170,177,187,288,396,697,1020,2040
Isle of Man,United Kingdom,0,0,60,315,336,336,336,336,340,353,369,377
Montserrat,United Kingdom,0,0,5,11,11,11,12,13,13,13,13,13
Turks and Caicos Islands,United Kingdom,0,0,5,12,12,41,107,508,689,703,748,893
,United Kingdom,2,61,38484,177543,256145,283710,303181,335873,453264,1011660,1629657,2488780
,Uruguay,0,0,338,643,823,936,1264,1595,2046,3124,5857,19119
,Uzbekistan,0,0,172,2039,3623,8503,24009,41893,56717,66932,73094,77060
,Vanuatu,0,0,0,0,0,0,0,0,0,0,1,1
,Venezuela,0,0,135,333,1510,5832,18574,46728,75122,92013,102394,113558
,Vietnam,2,16,212,270,328,355,558,1044,1094,1180,1347,1465
,West Bank and Gaza,0,0,119,344,448,2428,11837,22729,39899,53520,85647,138004
,Yemen,0,0,0,6,323,1158,1728,1958,2034,2063,2077,2099
,Zambia,0,0,35,106,1057,1594,5963,12097,14759,16432,17647,20725
,Zimbabwe,0,0,8,40,178,591,3169,6497,7838,8367,9950,13867
